SMILES,tg,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGHI,BCUT2D_LOGPHI,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0v,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,SMR_VSA10,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,EState_VSA1,EState_VSA2,VSA_EState2,VSA_EState4,VSA_EState6,VSA_EState8,FractionCSP3,HeavyAtomCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,RingCount,MolMR,fr_NH0,fr_amide,fr_aniline,fr_benzene,fr_bicyclic,fr_imide,num_CH3,num_CH2,num_CH,num_C,num_OH,num_COC,num_OC,num_N,num_Hal,num_double_bonds
*CCOC(=O)c1ccc(C(=O)O*)cc1,77.0,0.607671367,192.17,184.106,72,,,,,1.428571429,2.0,2.5,,,,,,3.470951766,674.0741495,6.632993162,3.270620726,2.029039102,2.029039102,1.17697703,1.17697703,0.614004033,0.614004033,-1.84,3.084057397,11.93861058,6.875840478,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,60.67001411,0.0,23.70923602,-1.470802036,-3.341018519,-5.272457484,0.2,14,0,0,1,1,1,46.947,0,0,0,1,0,0,0,2,0,8,0,1,2,0,0,2
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,-54.0,1.542047941,340.504,304.216,140,,,,,0.708333333,1.166666667,1.708333333,,,,,,7.493548421,1692.194445,11.63299316,5.520620726,2.779039102,2.779039102,1.273883921,1.273883921,0.599957479,0.599957479,-1.06,3.073499755,11.93861058,108.8426389,0.0,0.0,0.0,0.0,6.875840478,0.0,127.3402347,0.0,25.20236979,0.0,0.0,-8.162325864,0.9,24,0,0,0,0,0,95.73,0,0,0,0,0,0,0,18,0,2,0,1,2,0,0,2
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,-38.0,1.476185652,284.396,256.172,116,,,,,0.85,1.4,2.05,,,,,,7.180480122,1300.560226,9.632993162,4.520620726,2.279039102,2.279039102,1.023883921,1.023883921,0.474957479,0.474957479,-1.06,2.652337543,11.93861058,83.35093929,0.0,0.0,0.0,0.0,6.875840478,0.0,101.8485351,0.0,24.86303069,0.0,0.0,-7.695871382,0.875,20,0,0,0,0,0,77.262,0,0,0,0,0,0,0,14,0,2,0,1,2,0,0,2
*CCCCOC(=O)CCCCCCCCC(=O)O*,-57.0,1.432560861,256.342,232.15,104,,,,,0.944444444,1.555555556,2.166666667,,,,,,7.033133371,1110.680685,8.632993162,4.020620726,2.029039102,2.029039102,0.898883921,0.898883921,0.412457479,0.412457479,-1.06,2.446995597,11.93861058,70.60508949,0.0,0.0,0.0,0.0,6.875840478,0.0,89.10268531,0.0,24.58963819,0.0,0.0,-7.225016752,0.857142857,18,0,0,0,0,0,68.028,0,0,0,0,0,0,0,12,0,2,0,1,2,0,0,2
*CCOC(=O)CCCCCCCCC(=O)O*,-23.0,1.378346228,228.288,208.128,92,,,,,1.0625,1.625,2.1875,,,,,,6.925705301,925.4524567,7.632993162,3.520620726,1.779039102,1.779039102,0.785352885,0.785352885,0.361426442,0.361426442,-1.06,2.247605051,11.93861058,57.85923969,0.0,0.0,0.0,0.0,6.875840478,0.0,76.35683551,0.0,24.16977614,0.0,0.0,-6.256589445,0.833333333,16,0,0,0,0,0,58.794,0,0,0,0,0,0,0,10,0,2,0,1,2,0,0,2
*CCOC(=O)CCCCCCCC(=O)O*,-45.0,1.340270994,214.261,196.117,86,,,,,1.133333333,1.733333333,2.333333333,,,,,,6.746115646,834.7976792,7.132993162,3.270620726,1.654039102,1.654039102,0.722852885,0.722852885,0.330176442,0.330176442,-1.06,2.151216582,11.93861058,51.48631479,0.0,0.0,0.0,0.0,6.875840478,0.0,69.98391061,0.0,24.04300694,0.0,0.0,-6.175476506,0.818181818,15,0,0,0,0,0,54.177,0,0,0,0,0,0,0,9,0,2,0,1,2,0,0,2
*CCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-22.0,1.499167805,312.45,280.194,128,,,,,0.772727273,1.272727273,1.863636364,,,,,,7.35009609,1494.542588,10.63299316,5.020620726,2.529039102,2.529039102,1.148883921,1.148883921,0.537457479,0.537457479,-1.06,2.86157479,11.93861058,96.0967891,0.0,0.0,0.0,0.0,6.875840478,0.0,114.5943849,0.0,24.97870077,0.0,0.0,-8.035679378,0.888888889,22,0,0,0,0,0,86.496,0,0,0,0,0,0,0,16,0,2,0,1,2,0,0,2
*CCCOC(=O)CCCCCCC(=O)O*,-52.5,1.333105862,214.261,196.117,86,,,,,1.133333333,1.8,2.4,,,,,,6.619330763,834.7976792,7.132993162,3.270620726,1.654039102,1.654039102,0.711383921,0.711383921,0.32444196,0.32444196,-1.06,2.151216582,11.93861058,51.48631479,0.0,0.0,0.0,0.0,6.875840478,0.0,69.98391061,0.0,24.1385567,0.0,0.0,-6.676811168,0.818181818,15,0,0,0,0,0,54.177,0,0,0,0,0,0,0,9,0,2,0,1,2,0,0,2
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,-68.0,1.442226006,284.396,256.172,116,,,,,0.85,1.4,2.0,,,,,,7.209233204,1300.560226,9.632993162,4.520620726,2.279039102,2.279039102,1.023883921,1.023883921,0.474957479,0.474957479,-1.06,2.652337543,11.93861058,83.35093929,0.0,0.0,0.0,0.0,6.875840478,0.0,101.8485351,0.0,24.64560338,0.0,0.0,-7.863245887,0.875,20,0,0,0,0,0,77.262,0,0,0,0,0,0,0,14,0,2,0,1,2,0,0,2
*CCCCCCOC(=O)CCC(=O)O*,-50.0,1.237273684,200.234,184.106,80,,,,,1.214285714,1.928571429,2.642857143,,,,,,6.375834959,745.5912865,6.632993162,3.020620726,1.529039102,1.529039102,0.648883921,0.648883921,0.287457479,0.287457479,-1.06,2.057971414,11.93861058,45.11338989,0.0,0.0,0.0,0.0,6.875840478,0.0,63.6109857,0.0,23.66645386,0.0,0.0,-7.074711203,0.8,14,0,0,0,0,0,49.56,0,0,0,0,0,0,0,8,0,2,0,1,2,0,0,2
*CCCCOC(=O)CCCCC(=O)O*,-66.0,1.275194405,200.234,184.106,80,,,,,1.214285714,1.928571429,2.571428571,,,,,,6.332193518,745.5912865,6.632993162,3.020620726,1.529039102,1.529039102,0.648883921,0.648883921,0.287457479,0.287457479,-1.06,2.057971414,11.93861058,45.11338989,0.0,0.0,0.0,0.0,6.875840478,0.0,63.6109857,0.0,23.95342437,0.0,0.0,-6.854400238,0.8,14,0,0,0,0,0,49.56,0,0,0,0,0,0,0,8,0,2,0,1,2,0,0,2
*CCCCCOC(=O)CCCCC(=O)O*,-69.0,1.312025471,214.261,196.117,86,,,,,1.133333333,1.866666667,2.533333333,,,,,,6.496541282,834.7976792,7.132993162,3.270620726,1.654039102,1.654039102,0.711383921,0.711383921,0.318707479,0.318707479,-1.06,2.151216582,11.93861058,51.48631479,0.0,0.0,0.0,0.0,6.875840478,0.0,69.98391061,0.0,24.12251603,0.0,0.0,-7.142379927,0.818181818,15,0,0,0,0,0,54.177,0,0,0,0,0,0,0,9,0,2,0,1,2,0,0,2
*CCCCCC(=O)O*,-60.0,1.04490477,114.144,104.064,46,,,,,1.875,2.75,3.375,,,,,,6.002059007,389.69928,3.816496581,1.65824829,0.787457479,0.787457479,0.289562073,0.289562073,0.113531036,0.113531036,-0.53,0.916632755,5.969305288,32.36754008,0.0,0.0,0.0,0.0,6.875840478,0.0,38.33684537,0.0,11.36154904,0.0,0.0,-2.543849797,0.833333333,8,0,0,0,0,0,29.367,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,1
*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,37.5,0.821692896,248.278,232.15,96,,,,,1.444444444,2.055555556,2.555555556,,,,,,3.913870759,1019.888423,8.632993162,4.270620726,2.779039102,2.779039102,1.529039102,1.529039102,0.716066106,0.716066106,-1.84,3.182761053,11.93861058,20.57962471,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,86.16171372,0.0,24.71343427,-2.092703383,-4.503115079,-15.35027063,0.428571429,18,0,0,1,1,1,65.275,0,0,0,1,0,0,2,2,2,8,0,1,2,0,0,2
